Date,Open,High,Low,Close
19930511,1.2412,1.2412,1.2376,1.2376
19930512,1.2376,1.2376,1.2353,1.2353
19930513,1.2353,1.2353,1.2225,1.2225
19930514,1.2225,1.2345,1.2225,1.2345
19930518,1.2264,1.2264,1.2203,1.2203
19930519,1.2203,1.2226,1.2203,1.2226
19930520,1.2226,1.2314,1.2226,1.2314
19930521,1.2314,1.2314,1.2224,1.2224
19930525,1.215,1.2209,1.215,1.2209
19930526,1.2209,1.2209,1.2148,1.2148
19930527,1.2148,1.2258,1.2148,1.2258
19930528,1.2258,1.2432,1.2258,1.2432
19930602,1.2399,1.2399,1.2379,1.2379
19930603,1.2379,1.2379,1.2361,1.2361
19930604,1.2361,1.2361,1.217,1.217
19930608,1.2237,1.2237,1.2227,1.2227
19930609,1.2227,1.2227,1.214,1.214
19930610,1.214,1.2156,1.214,1.2156
19930611,1.2156,1.2241,1.2156,1.2241
19930615,1.2218,1.2218,1.2119,1.2119
19930616,1.2119,1.2119,1.1979,1.1979
19930617,1.1979,1.1994,1.1979,1.1994
19930618,1.1994,1.1994,1.1832,1.1832
19930622,1.1783,1.1783,1.1738,1.1738
19930623,1.1738,1.1777,1.1738,1.1777
19930624,1.1777,1.1777,1.1641,1.1641
19930625,1.1641,1.166,1.1641,1.166
19930629,1.1675,1.174,1.1675,1.174
19930630,1.174,1.174,1.1652,1.1652
19930701,1.1652,1.1685,1.1652,1.1685
19930702,1.1685,1.1727,1.1685,1.1727
19930707,1.1677,1.1677,1.1625,1.1625
19930708,1.1625,1.1625,1.1624,1.1624
19930709,1.1624,1.1624,1.1497,1.1497
19930713,1.1432,1.1476,1.1432,1.1476
19930714,1.1476,1.1476,1.1465,1.1465
19930715,1.1465,1.1465,1.1405,1.1405
19930716,1.1405,1.1405,1.14,1.14
19930720,1.1538,1.1538,1.1493,1.1493
19930721,1.1493,1.1535,1.1493,1.1535
19930722,1.1535,1.1535,1.1432,1.1432
19930723,1.1432,1.1432,1.137,1.137
19930727,1.1336,1.1336,1.1299,1.1299
19930728,1.1299,1.1359,1.1299,1.1359
19930729,1.1359,1.1359,1.1209,1.1209
19930730,1.1209,1.1209,1.1108,1.1108
19930803,1.1168,1.1333,1.1168,1.1333
19930804,1.1333,1.1354,1.1333,1.1354
19930805,1.1354,1.1354,1.1303,1.1303
19930806,1.1303,1.1342,1.1303,1.1342
19930810,1.1323,1.1323,1.1211,1.1211
19930811,1.1211,1.1211,1.118,1.118
19930812,1.118,1.118,1.1153,1.1153
19930813,1.1153,1.1183,1.1153,1.1183
19930817,1.1339,1.1339,1.1337,1.1337
19930818,1.1337,1.1423,1.1337,1.1423
19930819,1.1423,1.1459,1.1423,1.1459
19930820,1.1459,1.152,1.1459,1.152
19930824,1.1439,1.149,1.1439,1.149
19930825,1.149,1.149,1.1443,1.1443
19930826,1.1443,1.1506,1.1443,1.1506
19930827,1.1506,1.1506,1.1497,1.1497
19930831,1.1465,1.1465,1.1449,1.1449
19930901,1.1449,1.1526,1.1449,1.1526
19930902,1.1526,1.155,1.1526,1.155
19930903,1.155,1.17,1.155,1.17
19930908,1.1824,1.1824,1.1766,1.1766
19930909,1.1766,1.1913,1.1766,1.1913
19930910,1.1913,1.1986,1.1913,1.1986
19930914,1.1931,1.1938,1.1931,1.1938
19930915,1.1938,1.1999,1.1938,1.1999
19930916,1.1999,1.1999,1.1921,1.1921
19930917,1.1921,1.1921,1.1882,1.1882
19930921,1.1869,1.1869,1.1724,1.1724
19930922,1.1724,1.1752,1.1724,1.1752
19930923,1.1752,1.1752,1.1663,1.1663
19930924,1.1663,1.1663,1.1639,1.1639
19930928,1.1747,1.1798,1.1747,1.1798
19930929,1.1798,1.1826,1.1798,1.1826
19930930,1.1826,1.1826,1.1673,1.1673
19931001,1.1673,1.1692,1.1673,1.1692
19931005,1.1747,1.1747,1.1733,1.1733
19931006,1.1733,1.1748,1.1733,1.1748
19931007,1.1748,1.1748,1.1732,1.1732
19931008,1.1732,1.1849,1.1732,1.1849
19931013,1.1901,1.1901,1.1829,1.1829
19931014,1.1829,1.1829,1.1754,1.1754
19931015,1.1754,1.1754,1.1754,1.1754
19931019,1.1702,1.1702,1.1634,1.1634
19931020,1.1634,1.1634,1.1586,1.1586
19931021,1.1586,1.1586,1.1505,1.1505
19931022,1.1505,1.1505,1.1456,1.1456
19931026,1.1446,1.1446,1.1404,1.1404
19931027,1.1404,1.1404,1.1393,1.1393
19931028,1.1393,1.1393,1.138,1.138
19931029,1.138,1.141,1.138,1.141
19931102,1.1308,1.1333,1.1308,1.1333
19931103,1.1333,1.137,1.1333,1.137
19931104,1.137,1.137,1.1346,1.1346
19931105,1.1346,1.1381,1.1346,1.1381
19931109,1.1428,1.1428,1.1345,1.1345
19931110,1.1345,1.1363,1.1345,1.1363
19931111,1.1363,1.1363,1.1355,1.1355
19931116,1.1358,1.1358,1.1309,1.1309
19931117,1.1309,1.1309,1.13,1.13
19931118,1.13,1.13,1.1278,1.1278
19931119,1.1278,1.1278,1.1257,1.1257
19931123,1.1308,1.1308,1.1305,1.1305
