,Month,Year,Day,Predicted
0,5.0,1993.0,11,1.1449133
1,5.0,1993.0,12,1.1544042
2,5.0,1993.0,13,1.1622592
3,5.0,1993.0,14,1.1702234
4,5.0,1993.0,18,1.1767404
5,5.0,1993.0,19,1.1828569
6,5.0,1993.0,20,1.1885082
7,5.0,1993.0,21,1.1935143
8,5.0,1993.0,25,1.1979618
9,5.0,1993.0,26,1.2019323
10,5.0,1993.0,27,1.2057065
11,5.0,1993.0,28,1.2084588
12,6.0,1993.0,2,1.2098966
13,6.0,1993.0,3,1.2111154
14,6.0,1993.0,4,1.2127098
15,6.0,1993.0,8,1.2143433
16,6.0,1993.0,9,1.2148079
17,6.0,1993.0,10,1.2129474
18,6.0,1993.0,11,1.2135214
19,6.0,1993.0,15,1.213842
20,6.0,1993.0,16,1.2130234
21,6.0,1993.0,17,1.2127817
22,6.0,1993.0,18,1.2129074
23,6.0,1993.0,22,1.2139454
24,6.0,1993.0,23,1.2154233
25,6.0,1993.0,24,1.216633
26,6.0,1993.0,25,1.2171537
27,6.0,1993.0,29,1.2182719
28,6.0,1993.0,30,1.2184191
29,7.0,1993.0,1,1.2190976
30,7.0,1993.0,2,1.2179374
31,7.0,1993.0,7,1.2183756
32,7.0,1993.0,8,1.2183733
33,7.0,1993.0,9,1.2187515
34,7.0,1993.0,13,1.2186668
35,7.0,1993.0,14,1.2189347
36,7.0,1993.0,15,1.2190019
37,7.0,1993.0,16,1.2191336
38,7.0,1993.0,20,1.2192453
39,7.0,1993.0,21,1.2192465
40,7.0,1993.0,22,1.2193387
41,7.0,1993.0,23,1.2186991
42,7.0,1993.0,27,1.2171425
43,7.0,1993.0,28,1.2161963
44,7.0,1993.0,29,1.215632
45,7.0,1993.0,30,1.2152199
46,8.0,1993.0,3,1.2138636
47,8.0,1993.0,4,1.2104948
48,8.0,1993.0,5,1.2099112
49,8.0,1993.0,6,1.2095147
50,8.0,1993.0,10,1.2078737
51,8.0,1993.0,11,1.207059
52,8.0,1993.0,12,1.2066905
53,8.0,1993.0,13,1.2074065
54,8.0,1993.0,17,1.2087895
55,8.0,1993.0,18,1.2100052
56,8.0,1993.0,19,1.2105876
57,8.0,1993.0,20,1.2116181
58,8.0,1993.0,24,1.2115352
59,8.0,1993.0,25,1.2119546
60,8.0,1993.0,26,1.2110624
61,8.0,1993.0,27,1.2117945
62,8.0,1993.0,31,1.2120436
63,9.0,1993.0,1,1.212663
64,9.0,1993.0,2,1.2128184
65,9.0,1993.0,3,1.2133532
66,9.0,1993.0,8,1.2135922
67,9.0,1993.0,9,1.2139366
68,9.0,1993.0,10,1.2143651
69,9.0,1993.0,14,1.2146924
70,9.0,1993.0,15,1.2150555
71,9.0,1993.0,16,1.2149148
72,9.0,1993.0,17,1.2139274
73,9.0,1993.0,21,1.2134588
74,9.0,1993.0,22,1.2133743
75,9.0,1993.0,23,1.2133569
76,9.0,1993.0,24,1.2124922
77,9.0,1993.0,28,1.2096502
