,Month,Year,Day,Predicted
0,5.0,1993.0,11,1.1404513
1,5.0,1993.0,12,1.1452919
2,5.0,1993.0,13,1.1493196
3,5.0,1993.0,14,1.1539187
4,5.0,1993.0,18,1.1595877
5,5.0,1993.0,19,1.16306
6,5.0,1993.0,20,1.1676393
7,5.0,1993.0,21,1.1723791
8,5.0,1993.0,25,1.1765038
9,5.0,1993.0,26,1.1801515
10,5.0,1993.0,27,1.1833626
11,5.0,1993.0,28,1.1862044
12,6.0,1993.0,2,1.1882696
13,6.0,1993.0,3,1.1898
14,6.0,1993.0,4,1.1912384
15,6.0,1993.0,8,1.193291
16,6.0,1993.0,9,1.1951991
17,6.0,1993.0,10,1.1941243
18,6.0,1993.0,11,1.1934913
19,6.0,1993.0,15,1.1948987
20,6.0,1993.0,16,1.1952614
21,6.0,1993.0,17,1.1962475
22,6.0,1993.0,18,1.1968595
23,6.0,1993.0,22,1.1974895
24,6.0,1993.0,23,1.1978734
25,6.0,1993.0,24,1.1981475
26,6.0,1993.0,25,1.1989083
27,6.0,1993.0,29,1.1979121
28,6.0,1993.0,30,1.1986203
29,7.0,1993.0,1,1.1990738
30,7.0,1993.0,2,1.1928449
31,7.0,1993.0,7,1.1869881
32,7.0,1993.0,8,1.1816199
33,7.0,1993.0,9,1.1771944
34,7.0,1993.0,13,1.1748815
35,7.0,1993.0,14,1.1712967
36,7.0,1993.0,15,1.1692278
37,7.0,1993.0,16,1.1680405
38,7.0,1993.0,20,1.1668906
39,7.0,1993.0,21,1.1656942
40,7.0,1993.0,22,1.16449
41,7.0,1993.0,23,1.1632954
42,7.0,1993.0,27,1.1618483
43,7.0,1993.0,28,1.1606495
44,7.0,1993.0,29,1.1594791
45,7.0,1993.0,30,1.1590173
46,8.0,1993.0,3,1.1586251
47,8.0,1993.0,4,1.1557986
48,8.0,1993.0,5,1.1537422
49,8.0,1993.0,6,1.1540565
50,8.0,1993.0,10,1.1533611
51,8.0,1993.0,11,1.1534942
52,8.0,1993.0,12,1.153419
53,8.0,1993.0,13,1.1534956
54,8.0,1993.0,17,1.1536198
55,8.0,1993.0,18,1.1537915
56,8.0,1993.0,19,1.1543915
57,8.0,1993.0,20,1.1531631
58,8.0,1993.0,24,1.1535736
59,8.0,1993.0,25,1.1536336
60,8.0,1993.0,26,1.1549358
